total_return,cagr,annual_vol,sharpe,sortino,calmar,max_drawdown,hit_rate,turnover_annual,avg_exposure,skew,kurtosis,n_trades,y,x,half_life,pvalue,correlation
0.20819166817201773,8.992322675877977,0.22471657926057195,10.354896972782667,9.259247164180769,440.97040829857826,-0.020392122706313964,0.08127822160472387,365.0,0.16006944444444443,10.815483053320374,241.15032980092963,60,SOL/USDT,IOTA/USDT,12.4,0.0014,0.916
0.08732290887062488,1.7702302504201253,0.13007095691248594,7.898664574358284,3.7849162693256333,194.36052335874248,-0.009107972235456008,0.043765196248697465,267.66666666666663,0.09826388888888887,3.72705087044567,73.04250978155108,44,ADA/USDT,LTC/USDT,14.7,0.0201,0.922
0.10281664494411569,2.290813366808855,0.16377052997530622,7.35503984904997,3.9032672083045137,121.12668034597695,-0.018912541483557144,0.04307051059395624,255.5,0.140625,2.784274820648023,46.435851328195234,42,IOTA/USDT,AVAX/USDT,14.3,0.0074,0.874
0.1373256058774639,3.7881539971453746,0.21646677924377106,7.343276847124449,3.4263897845262408,138.12294978967697,-0.02742595638823009,0.05071205279610976,206.8333333333333,0.1361111111111111,1.3821573015144144,45.00875852944188,34,LTC/USDT,ICP/USDT,31.5,0.0061,0.783
0.1420470455170817,4.035767925319355,0.2235445156177285,7.343268893362674,5.2129033312987785,159.01156368451058,-0.02538034235878961,0.09204584925321292,231.16666666666666,0.19305555555555556,1.640955618791313,28.23977694265346,38,SOL/USDT,ICP/USDT,39.1,0.0397,0.878
0.05787217965334501,0.983233302509529,0.10049210501694408,6.863962867181928,3.4697480220563826,118.09284709158402,-0.008325934438239146,0.045154567558179926,219.0,0.08854166666666667,4.794189555883596,93.2146836811545,36,SOL/USDT,AVAX/USDT,17.5,0.0305,0.946
0.15802871072892444,4.963772781672266,0.2982246473848209,6.136830932473758,4.170369251345838,129.43708119467803,-0.03834892393939704,0.08718304967002431,267.66666666666663,0.20416666666666664,0.9972081025882658,20.365050233354342,44,ADA/USDT,ICP/USDT,34.1,0.0288,0.872
0.06851679002345534,1.240240949340631,0.1364342697165577,5.980117324198307,3.827634199636617,112.30508420402057,-0.011043497791137669,0.08475164987843001,267.6666666666667,0.22291666666666668,0.7845687512657921,25.265337971271215,44,ADA/USDT,LINK/USDT,14.4,0.0044,0.968
0.09176902621972993,1.9112901976366743,0.20424814361224664,5.33398917644028,2.619388875559685,71.50728616902626,-0.02672860767109575,0.05800625217089267,146.0,0.184375,0.42682283697462886,34.123743603228206,24,LTC/USDT,ONDO/USDT,30.5,0.0254,0.802
0.06085828302155116,1.0524525066361674,0.13943481850336598,5.226488044309942,4.550656124916071,77.35672291290193,-0.013605184746788623,0.14449461618617576,352.83333333333337,0.3232638888888889,1.2265712113061789,23.8488916883395,58,BNB/USDT,LTC/USDT,24.4,0.0406,0.871
0.18434112902939814,6.83931987683663,0.4301847828679841,5.001521312017769,2.631598820105297,99.00014065509849,-0.06908394100836468,0.05453282389718652,316.3333333333333,0.20902777777777778,0.9454800503938038,30.43230317577008,52,PEPE/USDT,ONDO/USDT,41.6,0.015,0.851
0.060764881132822746,1.0502542404635875,0.15712720204209796,4.647782797560932,2.817205433377944,67.0465863501027,-0.01566454457471389,0.06460576589093435,316.3333333333333,0.15625,2.64148503954083,52.987808046137424,52,LINK/USDT,LTC/USDT,17.1,0.0279,0.918
0.05556071454974276,0.9311309810094706,0.15094845745610067,4.435242444205516,2.5545910014494115,93.44477435516322,-0.009964505639132315,0.06773185133726989,219.0,0.18958333333333333,1.2565084438394867,34.70078497339131,36,LTC/USDT,HBAR/USDT,14.6,0.0113,0.895
0.056717423387209864,0.9570450081359929,0.17487971516963072,3.926790348036851,2.143271644031787,54.8459194687791,-0.01744970304820559,0.06252170892671066,170.33333333333334,0.1673611111111111,1.2943518659882944,46.60354688331955,28,LTC/USDT,FLOKI/USDT,20.0,0.016,0.888
0.09101569303364299,1.8869350272978829,0.28607704571812675,3.8489507205583062,2.306920725751055,38.94950652861849,-0.04844567224263652,0.08162556443209448,194.66666666666669,0.21840277777777778,0.5011316597256628,25.799252595329147,32,ADA/USDT,ONDO/USDT,34.3,0.0105,0.886
0.042660765816366464,0.6627114712112667,0.19657866685780856,2.684776595085277,1.1797476941132095,18.40857059652653,-0.03600015915066823,0.0493226814866273,146.0,0.14618055555555556,-0.10091054569002537,42.769100067366686,24,LINK/USDT,ICP/USDT,39.0,0.0196,0.887
-0.0003846285131070548,-0.004671228573921882,0.08924542909958808,-0.007825373002985575,-0.003721011969641903,-0.2522484858456352,-0.018518361203485934,0.06738450850989927,48.66666666666667,0.1326388888888889,-2.1954751049961474,58.32750306444234,8,ETH/USDT,XRP/USDT,77.7,0.0422,0.751
